Property Address,City,State,Zip,For Sale Price,Land Area (AC),Latitude,Longitude,Zoning,County Name,Proposed Land Use,Owner Name,Sale Company Name,Sale Company Contact,Sale Company Phone,Sale Company Fax,Last Sale Date,Last Sale Price,In SFHA,Fema Flood Zone,FEMA Map Date,Floodplain Area,% Pop Grwth 2020-2024(5m),% Pop Grwth 2024-2029(5m),% Pop Grwth 2020-2024(10m),% Pop Grwth 2024-2029(10m),2000 Population(3m),2020 Population(3m),2024 Population(3m),2029 Population(3m),2000 Population(5m),2020 Population(5m),2024 Population(5m),2029 Population(5m),2000 Population(10m),2020 Population(10m),2024 Population(10m),2029 Population(10m),2020 Med HH Inc(3m),2024 Avg HH Inc(3m),2024 Med HH Inc(3m),2029 Avg HH Inc(3m),2029 Med HH Inc(3m),2020 Med HH Inc(5m),2024 Avg HH Inc(5m),2024 Med HH Inc(5m),2029 Avg HH Inc(5m),2029 Med HH Inc(5m),2020 Med HH Inc(10m),2024 Avg HH Inc(10m),2024 Med HH Inc(10m),2029 Avg HH Inc(10m),2029 Med HH Inc(10m),"2024 Home Value $1,000,000+(3m)","2024 Home Value $100,000-200,000(3m)","2024 Home Value $200,000-300,000(3m)","2024 Home Value $300,000-400,000(3m)","2024 Home Value $400,000-500,000(3m)","2024 Home Value $500,000-1,000,000(3m)","2024 Home Value <100,000(3m)","2029 Home Value $1,000,000+(3m)","2029 Home Value $100,000-200,000(3m)","2029 Home Value $200,000-300,000(3m)","2029 Home Value $300,000-400,000(3m)","2029 Home Value $400,000-500,000(3m)","2029 Home Value $500,000-1,000,000(3m)","2029 Home Value <100,000(3m)",2024 Median Home Value(3m),2029 Median HH Value(3m),"2024 Home Value $1,000,000+(5m)","2024 Home Value $100,000-200,000(5m)","2024 Home Value $200,000-300,000(5m)","2024 Home Value $300,000-400,000(5m)","2024 Home Value $400,000-500,000(5m)","2024 Home Value $500,000-1,000,000(5m)","2024 Home Value <100,000(5m)","2029 Home Value $1,000,000+(5m)","2029 Home Value $100,000-200,000(5m)","2029 Home Value $200,000-300,000(5m)","2029 Home Value $300,000-400,000(5m)","2029 Home Value $400,000-500,000(5m)","2029 Home Value $500,000-1,000,000(5m)","2029 Home Value <100,000(5m)",2024 Median Home Value(5m),2029 Median HH Value(5m),"2024 Home Value $1,000,000+(10m)","2024 Home Value $100,000-200,000(10m)","2024 Home Value $200,000-300,000(10m)","2024 Home Value $300,000-400,000(10m)","2024 Home Value $400,000-500,000(10m)","2024 Home Value $500,000-1,000,000(10m)","2024 Home Value <100,000(10m)","2029 Home Value $1,000,000+(10m)","2029 Home Value $100,000-200,000(10m)","2029 Home Value $200,000-300,000(10m)","2029 Home Value $300,000-400,000(10m)","2029 Home Value $400,000-500,000(10m)","2029 Home Value $500,000-1,000,000(10m)","2029 Home Value <100,000(10m)",2024 Median Home Value(10m),2029 Median HH Value(10m),% HU Grwth 2020-2024(3m),% HU Grwth 2020-2024(5m),% HU Grwth 2020-2024(10m),date,Market,TotPop_5,TotPop_10,TotPop_15,TotPop_20,TotPop_25,Age0_4_5,Age0_4_10,Age0_4_15,Age0_4_20,Age0_4_25,Age5_9_5,Age5_9_10,Age5_9_15,Age5_9_20,Age5_9_25,Age10_14_5,Age10_14_10,Age10_14_15,Age10_14_20,Age10_14_25,Age15_19_5,Age15_19_10,Age15_19_15,Age15_19_20,Age15_19_25,TotHUs_5,TotHUs_10,TotHUs_15,TotHUs_20,TotHUs_25,MedianGrossRent_5,MedianGrossRent_10,MedianGrossRent_15,MedianGrossRent_20,MedianGrossRent_25,Age20_24_5,Age20_24_10,Age20_24_15,Age20_24_20,Age20_24_25,Age25_34_5,Age25_34_10,Age25_34_15,Age25_34_20,Age25_34_25,Age35_44_5,Age35_44_10,Age35_44_15,Age35_44_20,Age35_44_25,Age45_54_5,Age45_54_10,Age45_54_15,Age45_54_20,Age45_54_25,Age55_59_5,Age55_59_10,Age55_59_15,Age55_59_20,Age55_59_25,Age60_64_5,Age60_64_10,Age60_64_15,Age60_64_20,Age60_64_25,Age65_74_5,Age65_74_10,Age65_74_15,Age65_74_20,Age65_74_25,Age75_84_5,Age75_84_10,Age75_84_15,Age75_84_20,Age75_84_25,Over85_5,Over85_10,Over85_15,Over85_20,Over85_25,OccHUs_5,OccHUs_10,OccHUs_15,OccHUs_20,OccHUs_25,OwnerOcc_5,OwnerOcc_10,OwnerOcc_15,OwnerOcc_20,OwnerOcc_25,RenterOcc_5,RenterOcc_10,RenterOcc_15,RenterOcc_20,RenterOcc_25,Mobile homes per 1000 HU,AvgGrossRent_5,AvgGrossRent_10,AvgGrossRent_15,AvgGrossRent_20,AvgGrossRent_25,Nearest_Walmart_Address,Nearest_Walmart_Distance_Miles,Nearest_Walmart_Travel_Time_Minutes
559 State Route 31,Macedon,NY,14502-9107,,94.63,43.0681172,-77.3489581,GC,Wayne,"Industrial, Industrial Park, Office, Office Park, Retail",,CBRE Upstate NY,Patrick Wahl,5852408080.0,5852408088.0,,,No,,,,-1.68,-1.13,-1.13,-1.01,8663,10226,9938,9819,34551,39762,39094,38653,160097,176513,174521,172764,93807,112113,92079,111205,90930,99752,122148,99497,120665,97597,90564,118019,92270,117618,91374,1,1392,773,457,188,62,232,1,1376,761,448,185,61,233,194863,194439,7,4251,4215,1910,859,652,425,7,4199,4166,1880,851,647,426,235195,235117,443,16686,16603,9540,4330,3294,3991,438,16478,16404,9423,4285,3268,3958,240754,240788,-2.9,-1.89,-1.38,2025-02-24,Upstate NY,41431.0,177805.0,497487.0,759152.0,911655.0,2136.2,8881.6,24120.9,39836.3,47618.3,2284.0,10430.6,26646.8,42301.9,50568.4,2411.4,11957.9,29793.5,46642.0,54927.6,2500.2,10775.3,29662.1,49576.8,59657.5,17837.0,75871.0,228146.0,344218.0,413438.0,1385.0,1288.0,1177.0,1135.0,1132.0,1665.8,8279.3,31028.8,48670.8,57305.6,3411.8,16851.8,68183.1,103693.8,121521.4,5772.3,23030.1,61936.5,93915.2,111046.0,6272.2,24075.7,60433.4,90679.0,109020.2,3356.7,13820.4,35078.3,53306.3,64535.7,3105.8,12498.7,34019.9,51786.6,63798.5,5180.6,21188.3,54784.2,80526.9,100284.4,2545.1,11088.3,28203.4,39982.0,48913.3,788.7,4927.2,13596.2,18234.7,22457.7,17315.0,72992.0,214742.0,321377.0,384997.0,14480.0,58462.0,139245.0,205254.0,252654.0,2834.0,14530.0,75497.0,116123.0,132343.0,14.0,1426.0,1356.0,1247.0,1212.0,1208.0,"1200 Marketplace Dr, Rochester",14.88,29.5
6350 Transit Rd,Lockport,NY,14094-6336,1375000.0,97.0,43.1117617,-78.6981467,C2,Niagara,"MultiFamily, Office, Retail, Single Family Development, Storefrnt Retail/Residntl, Storefront Retail/Office",,Hanna Commercial Real Estate,Joseph Deck,7168567107.0,7168567214.0,,,No,"Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",09/17/2010,100-year and 500-year Floodplain,-0.49,-1.09,1.85,-0.26,13742,15340,15794,15784,47010,48815,48577,48046,188087,208754,212626,212071,69832,88504,69402,88231,69092,68161,87173,67566,86872,67056,80268,105560,81469,105274,80827,28,1234,1411,495,165,30,1432,28,1226,1397,493,166,30,1437,178241,177609,72,4620,3231,1606,674,295,3460,72,4544,3196,1593,672,291,3413,176168,176529,443,16174,17751,11045,5437,4888,5777,452,15981,17699,11082,5443,4874,5714,249611,250440,3.13,-0.61,1.86,2025-02-24,Upstate NY,49805.0,212126.0,606515.0,963801.0,1073724.0,2511.8,10273.1,31830.6,51364.5,57406.4,3175.6,11627.5,34113.0,55183.5,61597.1,3295.0,12608.2,34051.9,54785.6,60166.9,2263.0,15460.2,38236.5,60098.4,65582.2,22702.0,90297.0,275733.0,450984.0,500804.0,922.0,1243.0,1086.0,1028.0,1027.0,3189.7,14475.2,40350.0,62860.9,68805.9,6362.2,23709.1,83271.5,135974.2,149638.3,6524.2,25010.2,74974.6,118934.5,131646.4,6320.9,25593.2,69520.6,110795.2,124471.4,3701.0,15763.8,43169.6,67533.4,76117.3,3593.2,14386.4,42072.2,67444.5,76601.7,5884.1,24620.4,68148.3,106017.2,119761.4,2203.1,12553.6,31181.9,49727.0,56416.9,780.8,6044.8,15593.8,23082.6,25511.8,21110.0,85699.0,259621.0,416124.0,463056.0,15094.0,63970.0,178536.0,267244.0,301652.0,6016.0,21729.0,81085.0,148880.0,161404.0,66.0,982.0,1325.0,1149.0,1094.0,1092.0,"3290 Sheridan Dr, Amherst",13.41,17.7
Us Rt 11/Carly ct Ct,Central Square,NY,13036,1500000.0,128.5,43.268256,-76.1510789,,Oswego,Planned Unit Development,LA VEK LLC,Candy Costa Real Estate LLC,Candy Costa,3155056609.0,,,,Yes,Areas with a 1% annual chance of flooding and a 26% chance of flooding over the life of a 30-year mortgage.,06/18/2013,100-year Floodplain,-3.16,-1.57,-3.35,-2.29,8162,9176,8837,8680,16075,17541,16986,16720,114415,120564,116529,113864,71111,92618,73468,91892,72981,73689,92655,73923,91460,72903,80442,99064,80269,98408,79203,0,1256,634,288,58,121,298,0,1232,625,284,56,119,293,181966,182101,73,2406,1275,579,103,252,718,74,2367,1257,569,100,247,710,182501,182466,323,18099,8810,2882,586,1200,4455,320,17601,8564,2808,571,1175,4380,175818,175731,-4.16,-3.62,-3.54,2025-02-24,Upstate NY,18100.0,120789.0,296766.0,510207.0,610345.0,1021.5,6199.7,16101.4,28201.7,33182.2,1023.3,6936.0,17495.5,28864.3,34602.9,1073.2,7819.3,19368.7,31724.1,37615.8,777.5,6425.7,15655.8,36345.2,44476.1,8285.0,52352.0,136604.0,230422.0,275902.0,1068.0,1133.0,1057.0,1052.0,1047.0,1026.4,6587.1,16641.6,33622.9,40416.1,2091.0,14986.7,40183.9,67075.5,77873.3,2116.2,15458.4,37683.9,61412.5,72548.4,2656.4,15838.5,37287.7,60146.5,71875.3,1479.1,9203.2,21314.0,34497.5,42173.1,1572.2,9703.3,22930.6,37467.0,45393.6,1962.0,13631.0,32357.5,54191.9,65602.6,867.6,5901.1,13817.1,25231.7,30704.0,433.2,2098.6,5928.7,11426.6,13881.4,7551.0,49703.0,127049.0,210694.0,250641.0,5823.0,38880.0,85006.0,139639.0,169715.0,1728.0,10823.0,42043.0,71055.0,80926.0,88.0,1077.0,1169.0,1089.0,1111.0,1105.0,"6438 Basile Rowe, East Syracuse",21.12,28.2
00 Burleson Rd,Oneida,NY,13421,550000.0,143.0,43.0261051,-75.669966,,Madison,,Charles Soukup,,,,,,,No,,,,-5.08,-1.97,-4.7,-1.94,1629,1626,1517,1484,17846,17020,16156,15837,42724,42234,40248,39468,69615,91257,67500,91025,65850,60950,81680,64526,82104,64429,63180,81993,65888,82743,65918,9,187,85,60,16,1,122,9,183,83,59,16,1,119,163101,163387,112,2127,976,314,130,158,881,109,2082,958,307,128,154,862,169017,169068,146,5327,2396,754,296,373,2363,143,5221,2349,743,293,362,2312,165036,165111,-6.94,-5.17,-4.71,2025-02-24,Upstate NY,16930.0,42708.0,92973.0,220072.0,530731.0,785.3,1929.0,4164.7,10603.7,28737.2,990.5,2185.0,4732.8,11910.6,29444.9,990.6,2488.3,5292.1,12837.7,32965.8,926.6,2825.9,7021.8,14974.5,42910.9,7871.0,20094.0,41177.0,99806.0,238089.0,872.0,892.0,929.0,963.0,975.0,882.5,2588.5,6484.4,13844.6,38093.3,1649.1,4235.6,9488.4,24002.9,66934.7,1947.2,4903.6,10725.2,25807.4,60484.0,2401.1,6211.9,12434.7,27400.4,61460.1,1313.0,3006.5,6866.8,15726.2,35308.1,1463.1,3621.2,7776.5,17617.3,38300.9,2116.8,5238.1,10869.8,25415.1,55385.6,1026.5,2419.5,4966.6,13786.2,28180.5,437.6,1054.9,2149.3,6145.8,12524.7,7273.0,17751.0,36185.0,89819.0,213443.0,5250.0,13465.0,28725.0,67950.0,139071.0,2024.0,4287.0,7460.0,21869.0,74372.0,43.0,870.0,890.0,935.0,1027.0,1041.0,"6438 Basile Rowe, East Syracuse",23.28,37.57
3868 Lower Mountain Rd,Lockport,NY,14094-9739,4500000.0,106.0,43.1707217,-78.8189433,Zoned AR,Niagara,"Agricultural, Mixed Use, Single Family Residence",,Berkshire Hathaway HomeServices Florida Properties,Alana Crumbley,7278474444.0,8137395703.0,,,No,,,,-3.2,-1.91,-2.31,-1.62,3693,3929,3760,3676,12535,13113,12693,12450,146182,149311,145859,143502,79707,112241,82635,112686,82439,84264,107235,86160,106502,85028,68343,90951,70170,91529,70100,0,452,470,92,92,82,50,0,442,457,89,91,80,50,224893,224617,0,1666,1402,349,320,214,238,0,1626,1371,340,318,210,235,213588,213785,153,17067,10539,5240,2082,1705,8213,153,16738,10365,5180,2070,1670,8082,183707,183922,-4.19,-3.21,-2.32,2025-02-24,Upstate NY,13130.0,150829.0,456674.0,803956.0,989989.0,570.3,7744.6,22668.3,43097.8,53243.1,722.9,8488.4,24742.8,47075.0,56801.6,842.2,8659.6,24516.3,46164.7,56139.3,975.2,8614.3,30188.6,51470.2,61334.8,5333.0,67761.0,209093.0,375696.0,463360.0,898.0,984.0,1062.0,1037.0,1023.0,621.5,8377.7,29124.4,54819.5,64792.0,1005.6,18941.2,58158.0,114324.8,139704.4,1755.2,18677.0,55921.4,99199.3,121888.4,1817.4,18343.1,53462.4,91221.9,114383.1,1361.1,11866.1,33786.7,55299.9,69388.0,1160.3,11369.9,32206.7,54573.4,69098.7,1378.8,17974.2,54447.8,87473.9,108599.5,723.5,8102.0,25007.0,40005.5,51093.8,195.6,3671.3,12443.2,19229.7,23522.5,5087.0,63381.0,196082.0,345644.0,427356.0,4490.0,47206.0,139556.0,219114.0,274278.0,596.0,16175.0,56526.0,126530.0,153078.0,13.0,962.0,1049.0,1145.0,1104.0,1088.0,"3290 Sheridan Dr, Amherst",14.31,27.7
00 New Turnpike Rd,Sherburne,NY,13460,550000.0,91.57,42.6780433,-75.4355154,,Chenango,,Charles Soukup,,,,,,,No,"Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",11/26/2010,100-year and 500-year Floodplain,-11.73,-4.43,-9.56,-3.66,1458,1335,1184,1133,4743,4503,3975,3799,16463,15640,14145,13628,53088,77188,54722,80693,55612,54565,76317,56163,79041,57126,59097,76097,58585,76173,58567,1,162,34,22,2,2,140,1,155,33,21,2,2,135,125617,125484,2,541,117,71,8,8,488,2,516,114,68,8,8,467,123937,124128,29,1689,694,209,91,62,1677,29,1624,678,203,90,61,1609,132475,133128,-12.13,-12.45,-9.81,2025-02-24,Upstate NY,4468.0,15725.0,42028.0,67575.0,118925.0,212.7,927.9,2268.4,3462.1,5467.1,283.4,1008.3,2282.6,3560.8,5700.8,483.7,1172.6,2401.6,3793.3,6502.6,236.8,911.0,3984.3,6198.1,11539.3,2145.0,7688.0,19738.0,32530.0,56630.0,744.0,796.0,858.0,856.0,901.0,243.4,792.5,3306.4,5192.0,10917.3,611.4,1864.9,4897.7,7343.5,12695.6,565.1,1744.5,4247.4,7186.2,12678.7,558.6,1966.6,4890.8,7998.8,13483.2,275.5,1066.8,2549.6,4423.1,8040.5,295.3,1276.2,3123.4,5221.6,9051.4,408.3,1859.0,4894.5,7862.5,13632.4,201.9,834.5,2212.7,3804.7,6572.5,91.7,300.3,968.6,1527.9,2643.7,1706.0,6089.0,15742.0,25681.0,45339.0,1296.0,4994.0,11720.0,19863.0,34276.0,410.0,1095.0,4021.0,5818.0,11063.0,233.0,783.0,847.0,882.0,888.0,926.0,"710 Horatio St, Utica",41.62,50.12
160 Breckheimer Road Rd,Central Square,NY,13036-2366,999900.0,295.0,43.355809,-76.082784,,Oswego,"Master Planned Community, MultiFamily, Single Family Development, Single Family Residence",,JF Real Estate,Martin McDermott,3154722020.0,3154728774.0,,,No,"Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",06/18/2013,100-year and 500-year Floodplain,-2.78,-0.57,-1.83,-0.69,3069,2505,2464,2456,9483,9124,8870,8819,31335,31709,31130,30915,68823,79710,69791,77459,69549,70791,83446,70051,81557,69292,69201,85537,68869,84156,68041,8,399,155,28,0,0,255,8,397,156,28,0,0,253,141980,142317,12,1386,469,203,25,10,867,12,1379,469,202,25,10,861,144660,144815,29,4510,1764,741,114,279,2565,29,4477,1750,735,111,275,2559,154013,153808,-1.74,-3.02,-2.18,2025-02-24,Upstate NY,9175.0,32214.0,103085.0,288661.0,553894.0,441.7,1784.9,5573.5,15175.3,30346.1,484.9,1854.3,5762.4,16441.5,31404.6,362.8,1918.4,6669.3,18226.1,34576.2,513.2,1694.5,6036.3,15131.2,40979.0,4081.0,14572.0,46078.0,132571.0,252249.0,1028.0,1014.0,1086.0,1081.0,1048.0,508.5,1686.8,5062.2,15758.7,37306.6,1231.7,3950.5,12331.3,36968.0,72249.4,1230.0,3825.4,12391.9,36146.9,66017.0,1271.2,4448.8,14004.0,37152.6,65296.0,782.7,2823.6,8826.1,21868.8,37301.3,823.1,2602.8,8276.1,23000.9,40525.2,1104.9,3661.8,11632.8,32643.9,58269.0,254.5,1369.0,4978.5,14503.0,27433.5,166.0,593.3,1540.6,5644.1,12190.1,3815.0,13107.0,41678.0,121945.0,227836.0,3374.0,10656.0,34328.0,89432.0,151218.0,441.0,2451.0,7350.0,32513.0,76619.0,206.0,1383.0,1068.0,1110.0,1110.0,1108.0,"6438 Basile Rowe, East Syracuse",26.72,31.53
4724 California Rd,Orchard Park,NY,14127-3136,,121.0,42.7536887,-78.7704794,Residential,Erie,"Agricultural, Apartment Units, Apartment Units - Condo, Apartment Units - Senior, Hold for Development, Manuftrd Hms/Mobl Hm Prk, Pasture/Ranch, Planned Unit Development, Single Family Development",,Research In Progress,Research In Progress,,,,,Yes,The base floodplain where base flood elevations are provided. AE Zones are now used on new format FIRMs instead of A1-A30 Zones.,06/07/2019,100-year Floodplain,4.55,0.03,-0.14,-0.84,26974,28983,30915,31035,89925,93797,98065,98090,293095,292795,292397,289939,82923,109372,83719,108393,82501,75147,98580,76868,97782,76003,65725,87226,67954,87375,67716,76,1860,3180,1750,1559,694,201,77,1862,3193,1762,1568,695,201,281729,281928,207,9763,10016,4324,2557,1479,1954,208,9742,10027,4347,2568,1479,1943,234275,234626,773,30403,22508,10663,5037,4568,11700,768,30102,22445,10644,5035,4536,11468,203212,204139,6.77,4.11,-0.4,2025-02-24,Upstate NY,94663.0,293961.0,660406.0,924530.0,1045392.0,4461.7,14935.1,36164.3,49537.5,55747.5,5358.1,16716.9,38730.2,53319.3,59547.4,5031.4,15827.7,37137.3,51382.4,58311.5,5361.8,15665.7,38865.4,56999.4,64029.6,42716.0,136003.0,311838.0,430004.0,484738.0,1108.0,1010.0,1019.0,1051.0,1048.0,5009.1,15238.6,42614.1,58892.2,65126.2,11060.7,37620.7,96994.4,130263.9,144213.0,11006.7,34685.1,79358.0,112343.4,127089.8,12115.2,36771.1,77183.8,108074.7,123219.6,6935.0,23260.0,46190.9,64620.4,74012.9,7284.6,22999.7,47017.1,65456.2,75444.6,12106.3,35663.3,71345.7,102059.0,117092.6,6182.1,17160.6,34012.3,48787.0,55690.0,2749.8,7416.7,14792.4,22794.8,25867.1,40988.0,127942.0,287254.0,399172.0,450033.0,30099.0,89836.0,179103.0,259517.0,298802.0,10889.0,38106.0,108152.0,139655.0,151232.0,26.0,1197.0,1076.0,1077.0,1114.0,1112.0,"3290 Sheridan Dr, Amherst",20.37,24.38
Carmenica Dr. and Pasubio Terrrace,Cicero,NY,13039,,182.18,43.1813244,-76.1138614,General Commercial,Onondaga,"Apartment Units, Commercial, Mixed Use, Single Family Development",,"Sutton Real Estate Company, LLC",Barton Feinberg,3154241111.0,3154241383.0,,,No,"Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",11/04/2016,100-year and 500-year Floodplain,-4.11,-2.78,-2.73,-2.35,25038,28218,26753,25938,56223,59858,57397,55802,266175,279364,271725,265345,95452,112598,99712,112879,100387,82418,101766,85280,102200,85281,61329,80724,62015,80782,61690,83,4324,2536,765,111,232,643,82,4182,2454,739,107,226,625,185661,185664,128,9554,4697,1267,281,663,1676,125,9254,4558,1231,273,644,1628,178050,178111,464,31544,13056,4216,1099,1786,13384,459,30678,12721,4109,1078,1740,13049,161471,161503,-5.52,-4.24,-2.22,2025-02-24,Upstate NY,59725.0,274928.0,466598.0,536093.0,611106.0,3168.8,14369.9,25705.1,29645.8,32989.8,3136.0,15698.8,26460.2,30342.3,34364.3,3827.6,17168.8,28848.4,33131.8,37724.1,3213.5,18635.8,33785.9,37536.3,42226.3,25662.0,126371.0,209462.0,240995.0,276361.0,1052.0,1051.0,1063.0,1052.0,1045.0,2951.6,17799.8,31191.8,34895.3,38818.6,8237.8,38785.7,61699.7,69543.3,77146.2,7302.6,34493.2,56366.1,64464.7,73016.3,7510.4,33423.4,54580.2,63348.3,72940.7,4386.3,17753.6,30656.6,36684.7,42991.8,5256.2,20725.8,34306.1,39891.9,46332.0,6494.9,28194.5,49176.0,57491.1,67177.5,3153.0,12707.8,23040.3,26765.9,31211.1,1086.6,5171.2,10782.2,12352.0,14167.9,24446.0,116817.0,192704.0,221286.0,252251.0,19217.0,72317.0,125839.0,148107.0,173262.0,5230.0,44500.0,66865.0,73179.0,78989.0,4.0,1068.0,1104.0,1125.0,1111.0,1101.0,"6438 Basile Rowe, East Syracuse",13.43,18.45
8401 Caughdenoy Rd,Clay,NY,13041-9181,,98.02,43.17827,-76.17128,RA-100,Onondaga,Commercial,,Cushman & Wakefield | Pyramid Brokerage Company,Mark Austin,3154451030.0,3154452074.0,,,No,"Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",11/04/2016,100-year and 500-year Floodplain,-4.21,-2.8,-2.74,-2.37,23817,24985,23405,22633,92074,96008,91964,89386,289803,305854,297477,290415,93209,112457,99255,112795,100251,78320,97917,79451,97994,78585,60623,80230,61311,80208,60947,55,4075,2159,532,84,343,534,54,3933,2079,512,82,332,517,182380,182315,219,15460,6892,1463,326,756,2367,214,14971,6672,1415,316,736,2296,173573,173568,527,34622,13825,4601,1136,1990,14540,520,33653,13452,4482,1108,1939,14157,160887,160911,-6.54,-4.35,-2.31,2025-02-24,Upstate NY,96045.0,303588.0,460071.0,536643.0,613984.0,5103.0,16362.0,25432.5,29723.4,33223.2,5540.1,17625.5,26141.0,30410.8,34660.8,5811.2,19783.0,28300.8,33213.4,37918.1,5122.2,19893.1,33229.3,37648.6,42703.9,42117.0,139579.0,206651.0,240552.0,277274.0,1168.0,1052.0,1063.0,1053.0,1050.0,5369.7,19444.4,30905.5,34868.2,39083.5,12932.5,42818.1,61070.5,69716.2,77910.5,12628.0,37971.5,55601.8,64528.1,73282.1,12352.4,36382.6,53732.7,63011.0,73098.6,6322.4,19582.4,30246.3,36808.1,42963.9,7437.4,22907.9,33726.2,39936.6,46307.4,10567.0,31023.9,48460.4,57697.6,67296.9,5112.1,13660.9,22733.9,26781.2,31330.9,1746.7,6132.7,10490.1,12299.6,14204.2,40403.0,129182.0,190245.0,221370.0,252841.0,29746.0,78965.0,123988.0,148123.0,173611.0,10657.0,50217.0,66257.0,73247.0,79229.0,12.0,1196.0,1094.0,1126.0,1112.0,1108.0,"6438 Basile Rowe, East Syracuse",14.88,23.77
7294 County Road 132,Ovid,NY,14521-9506,7500000.0,284.0,42.6639881,-76.8671446,Not Zoned,Seneca,"Apartment Units - Condo, Apartment Units - Senior, Hospitality, MultiFamily, Planned Unit Development, Public Park, Single Family Development, Winery/Vineyard",Boy Scouts of America,Moore Corporate Real Estate,Steve Moore,5855464170.0,5855463587.0,,,No,,,,-1.71,-1.21,-2.36,-1.31,2622,2586,2338,2269,4240,4205,4133,4083,19047,19304,18848,18602,60381,71432,58492,69748,58043,60916,68676,56587,66376,55374,59560,72447,58239,72062,57663,2,197,43,17,13,45,222,2,194,42,17,13,45,216,124111,125000,8,377,94,67,51,100,396,8,375,93,68,52,100,393,139920,140400,77,1859,724,443,282,446,1400,77,1824,717,441,284,445,1383,165384,165926,-4.48,2.1,-2.47,2025-02-24,Upstate NY,5346.0,20507.0,47832.0,104498.0,226102.0,339.8,1427.7,2826.2,5669.1,10618.5,290.7,1196.1,2516.1,5807.4,11515.0,264.9,1303.6,3032.8,6260.4,12137.0,239.2,1111.7,3692.0,6874.7,18955.9,2386.0,10102.0,23532.0,52779.0,112012.0,796.0,798.0,896.0,938.0,1149.0,345.4,1198.5,3771.9,6932.5,20550.0,833.1,2611.8,5333.8,11831.7,26989.5,810.0,2342.1,4731.9,11096.8,25498.9,616.2,2306.7,5254.0,12142.4,24394.7,303.0,1201.1,3030.6,7464.8,14721.4,327.8,1344.3,3492.0,8298.3,16263.7,696.5,2904.7,6400.3,13573.6,26443.5,220.1,1166.3,2913.1,6210.5,13055.0,59.0,392.3,836.7,2335.7,4959.0,1659.0,7465.0,17669.0,42193.0,93501.0,1256.0,5611.0,13561.0,30889.0,60958.0,403.0,1855.0,4109.0,11304.0,32543.0,177.0,1061.0,978.0,1016.0,1043.0,1234.0,"135 Fairgrounds Memorial Pkwy, Ithaca",29.39,43.4
County Route 57,Fulton,NY,13069,550000.0,93.0,43.2780833,-76.38087,R-1,Oswego,"Baseball Field, Commercial, Hold for Development",Jeanette Difato,JF Real Estate,Ed Rogers,3154722020.0,3154728774.0,12/30/2014 00:00:00,340000.0,Yes,The base floodplain where base flood elevations are provided. AE Zones are now used on new format FIRMs instead of A1-A30 Zones.,06/18/2013,100-year Floodplain,-2.74,-0.64,-1.96,-1.3,7176,6086,5948,5922,21593,20281,19725,19599,69952,73473,72035,71102,59914,74609,59848,74203,59668,56340,67312,55006,65713,53903,70277,89335,68558,87599,66733,13,775,238,95,1,73,641,13,766,236,94,1,73,639,135742,135509,14,1675,569,184,14,241,2453,14,1657,561,181,13,243,2432,107284,107151,150,7805,4430,1851,435,814,5289,150,7684,4338,1810,423,807,5243,165316,164868,-2.5,-2.99,-2.09,2025-02-24,Upstate NY,20486.0,73597.0,202779.0,402698.0,573473.0,1404.6,3818.7,10574.6,21921.2,31060.9,1089.1,4177.3,12049.1,23964.3,32542.4,1311.7,5527.8,12952.7,26145.8,35341.2,1084.6,4251.8,13727.8,24053.1,42403.0,9250.0,32241.0,89364.0,184447.0,259337.0,889.0,1103.0,1118.0,1068.0,1043.0,1249.6,3975.5,13149.9,23939.2,38768.8,2734.5,8500.0,24363.8,52883.6,74686.2,2450.8,9129.3,25011.8,50077.7,67652.5,2379.6,9161.7,24896.0,49466.7,67040.6,1856.4,6231.4,14886.9,28506.8,38959.6,1473.2,5484.7,15091.3,30425.1,42146.3,2140.4,8347.6,22084.1,43339.8,61501.8,920.3,3465.4,9840.0,19050.7,28385.5,390.8,1525.5,4151.0,8924.4,12984.3,8481.0,30298.0,82714.0,169516.0,235887.0,5547.0,21980.0,59719.0,114509.0,156978.0,2934.0,8318.0,22995.0,55007.0,78909.0,63.0,907.0,1116.0,1152.0,1107.0,1100.0,"6438 Basile Rowe, East Syracuse",31.88,34.53
