Property Address,City,State,Zip,For Sale Price,Land Area (AC),Latitude,Longitude,Zoning,County Name,Proposed Land Use,Owner Name,Sale Company Name,Sale Company Contact,Sale Company Phone,Sale Company Fax,Last Sale Date,Last Sale Price,In SFHA,Fema Flood Zone,FEMA Map Date,Floodplain Area,% Pop Grwth 2020-2024(5m),% Pop Grwth 2024-2029(5m),% Pop Grwth 2020-2024(10m),% Pop Grwth 2024-2029(10m),2000 Population(3m),2020 Population(3m),2024 Population(3m),2029 Population(3m),2000 Population(5m),2020 Population(5m),2024 Population(5m),2029 Population(5m),2000 Population(10m),2020 Population(10m),2024 Population(10m),2029 Population(10m),2020 Med HH Inc(3m),2024 Avg HH Inc(3m),2024 Med HH Inc(3m),2029 Avg HH Inc(3m),2029 Med HH Inc(3m),2020 Med HH Inc(5m),2024 Avg HH Inc(5m),2024 Med HH Inc(5m),2029 Avg HH Inc(5m),2029 Med HH Inc(5m),2020 Med HH Inc(10m),2024 Avg HH Inc(10m),2024 Med HH Inc(10m),2029 Avg HH Inc(10m),2029 Med HH Inc(10m),"2024 Home Value $1,000,000+(3m)","2024 Home Value $100,000-200,000(3m)","2024 Home Value $200,000-300,000(3m)","2024 Home Value $300,000-400,000(3m)","2024 Home Value $400,000-500,000(3m)","2024 Home Value $500,000-1,000,000(3m)","2024 Home Value <100,000(3m)","2029 Home Value $1,000,000+(3m)","2029 Home Value $100,000-200,000(3m)","2029 Home Value $200,000-300,000(3m)","2029 Home Value $300,000-400,000(3m)","2029 Home Value $400,000-500,000(3m)","2029 Home Value $500,000-1,000,000(3m)","2029 Home Value <100,000(3m)",2024 Median Home Value(3m),2029 Median HH Value(3m),"2024 Home Value $1,000,000+(5m)","2024 Home Value $100,000-200,000(5m)","2024 Home Value $200,000-300,000(5m)","2024 Home Value $300,000-400,000(5m)","2024 Home Value $400,000-500,000(5m)","2024 Home Value $500,000-1,000,000(5m)","2024 Home Value <100,000(5m)","2029 Home Value $1,000,000+(5m)","2029 Home Value $100,000-200,000(5m)","2029 Home Value $200,000-300,000(5m)","2029 Home Value $300,000-400,000(5m)","2029 Home Value $400,000-500,000(5m)","2029 Home Value $500,000-1,000,000(5m)","2029 Home Value <100,000(5m)",2024 Median Home Value(5m),2029 Median HH Value(5m),"2024 Home Value $1,000,000+(10m)","2024 Home Value $100,000-200,000(10m)","2024 Home Value $200,000-300,000(10m)","2024 Home Value $300,000-400,000(10m)","2024 Home Value $400,000-500,000(10m)","2024 Home Value $500,000-1,000,000(10m)","2024 Home Value <100,000(10m)","2029 Home Value $1,000,000+(10m)","2029 Home Value $100,000-200,000(10m)","2029 Home Value $200,000-300,000(10m)","2029 Home Value $300,000-400,000(10m)","2029 Home Value $400,000-500,000(10m)","2029 Home Value $500,000-1,000,000(10m)","2029 Home Value <100,000(10m)",2024 Median Home Value(10m),2029 Median HH Value(10m),% HU Grwth 2020-2024(3m),% HU Grwth 2020-2024(5m),% HU Grwth 2020-2024(10m),date,Market
559 State Route 31,Macedon,NY,14502-9107,,94.63,43.0681172,-77.3489581,GC,Wayne,"Industrial, Industrial Park, Office, Office Park, Retail",,CBRE Upstate NY,Patrick Wahl,5852408080.0,5852408088.0,,,No,,,,-1.68,-1.13,-1.13,-1.01,8663,10226,9938,9819,34551,39762,39094,38653,160097,176513,174521,172764,93807,112113,92079,111205,90930,99752,122148,99497,120665,97597,90564,118019,92270,117618,91374,1,1392,773,457,188,62,232,1,1376,761,448,185,61,233,194863,194439,7,4251,4215,1910,859,652,425,7,4199,4166,1880,851,647,426,235195,235117,443,16686,16603,9540,4330,3294,3991,438,16478,16404,9423,4285,3268,3958,240754,240788,-2.9,-1.89,-1.38,2025-02-24,I85 Corridor
6350 Transit Rd,Lockport,NY,14094-6336,1375000.0,97.0,43.1117617,-78.6981467,C2,Niagara,"MultiFamily, Office, Retail, Single Family Development, Storefrnt Retail/Residntl, Storefront Retail/Office",,Hanna Commercial Real Estate,Joseph Deck,7168567107.0,7168567214.0,,,No,"Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",09/17/2010,100-year and 500-year Floodplain,-0.49,-1.09,1.85,-0.26,13742,15340,15794,15784,47010,48815,48577,48046,188087,208754,212626,212071,69832,88504,69402,88231,69092,68161,87173,67566,86872,67056,80268,105560,81469,105274,80827,28,1234,1411,495,165,30,1432,28,1226,1397,493,166,30,1437,178241,177609,72,4620,3231,1606,674,295,3460,72,4544,3196,1593,672,291,3413,176168,176529,443,16174,17751,11045,5437,4888,5777,452,15981,17699,11082,5443,4874,5714,249611,250440,3.13,-0.61,1.86,2025-02-24,I85 Corridor
Us Rt 11/Carly ct Ct,Central Square,NY,13036,1500000.0,128.5,43.268256,-76.1510789,,Oswego,Planned Unit Development,LA VEK LLC,Candy Costa Real Estate LLC,Candy Costa,3155056609.0,,,,Yes,Areas with a 1% annual chance of flooding and a 26% chance of flooding over the life of a 30-year mortgage.,06/18/2013,100-year Floodplain,-3.16,-1.57,-3.35,-2.29,8162,9176,8837,8680,16075,17541,16986,16720,114415,120564,116529,113864,71111,92618,73468,91892,72981,73689,92655,73923,91460,72903,80442,99064,80269,98408,79203,0,1256,634,288,58,121,298,0,1232,625,284,56,119,293,181966,182101,73,2406,1275,579,103,252,718,74,2367,1257,569,100,247,710,182501,182466,323,18099,8810,2882,586,1200,4455,320,17601,8564,2808,571,1175,4380,175818,175731,-4.16,-3.62,-3.54,2025-02-24,I85 Corridor
00 Burleson Rd,Oneida,NY,13421,550000.0,143.0,43.0261051,-75.669966,,Madison,,Charles Soukup,,,,,,,No,,,,-5.08,-1.97,-4.7,-1.94,1629,1626,1517,1484,17846,17020,16156,15837,42724,42234,40248,39468,69615,91257,67500,91025,65850,60950,81680,64526,82104,64429,63180,81993,65888,82743,65918,9,187,85,60,16,1,122,9,183,83,59,16,1,119,163101,163387,112,2127,976,314,130,158,881,109,2082,958,307,128,154,862,169017,169068,146,5327,2396,754,296,373,2363,143,5221,2349,743,293,362,2312,165036,165111,-6.94,-5.17,-4.71,2025-02-24,I85 Corridor
3868 Lower Mountain Rd,Lockport,NY,14094-9739,4500000.0,106.0,43.1707217,-78.8189433,Zoned AR,Niagara,"Agricultural, Mixed Use, Single Family Residence",,Berkshire Hathaway HomeServices Florida Properties,Alana Crumbley,7278474444.0,8137395703.0,,,No,,,,-3.2,-1.91,-2.31,-1.62,3693,3929,3760,3676,12535,13113,12693,12450,146182,149311,145859,143502,79707,112241,82635,112686,82439,84264,107235,86160,106502,85028,68343,90951,70170,91529,70100,0,452,470,92,92,82,50,0,442,457,89,91,80,50,224893,224617,0,1666,1402,349,320,214,238,0,1626,1371,340,318,210,235,213588,213785,153,17067,10539,5240,2082,1705,8213,153,16738,10365,5180,2070,1670,8082,183707,183922,-4.19,-3.21,-2.32,2025-02-24,I85 Corridor
00 New Turnpike Rd,Sherburne,NY,13460,550000.0,91.57,42.6780433,-75.4355154,,Chenango,,Charles Soukup,,,,,,,No,"Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",11/26/2010,100-year and 500-year Floodplain,-11.73,-4.43,-9.56,-3.66,1458,1335,1184,1133,4743,4503,3975,3799,16463,15640,14145,13628,53088,77188,54722,80693,55612,54565,76317,56163,79041,57126,59097,76097,58585,76173,58567,1,162,34,22,2,2,140,1,155,33,21,2,2,135,125617,125484,2,541,117,71,8,8,488,2,516,114,68,8,8,467,123937,124128,29,1689,694,209,91,62,1677,29,1624,678,203,90,61,1609,132475,133128,-12.13,-12.45,-9.81,2025-02-24,I85 Corridor
160 Breckheimer Road Rd,Central Square,NY,13036-2366,999900.0,295.0,43.355809,-76.082784,,Oswego,"Master Planned Community, MultiFamily, Single Family Development, Single Family Residence",,JF Real Estate,Martin McDermott,3154722020.0,3154728774.0,,,No,"Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",06/18/2013,100-year and 500-year Floodplain,-2.78,-0.57,-1.83,-0.69,3069,2505,2464,2456,9483,9124,8870,8819,31335,31709,31130,30915,68823,79710,69791,77459,69549,70791,83446,70051,81557,69292,69201,85537,68869,84156,68041,8,399,155,28,0,0,255,8,397,156,28,0,0,253,141980,142317,12,1386,469,203,25,10,867,12,1379,469,202,25,10,861,144660,144815,29,4510,1764,741,114,279,2565,29,4477,1750,735,111,275,2559,154013,153808,-1.74,-3.02,-2.18,2025-02-24,I85 Corridor
4724 California Rd,Orchard Park,NY,14127-3136,,121.0,42.7536887,-78.7704794,Residential,Erie,"Agricultural, Apartment Units, Apartment Units - Condo, Apartment Units - Senior, Hold for Development, Manuftrd Hms/Mobl Hm Prk, Pasture/Ranch, Planned Unit Development, Single Family Development",,Research In Progress,Research In Progress,,,,,Yes,The base floodplain where base flood elevations are provided. AE Zones are now used on new format FIRMs instead of A1-A30 Zones.,06/07/2019,100-year Floodplain,4.55,0.03,-0.14,-0.84,26974,28983,30915,31035,89925,93797,98065,98090,293095,292795,292397,289939,82923,109372,83719,108393,82501,75147,98580,76868,97782,76003,65725,87226,67954,87375,67716,76,1860,3180,1750,1559,694,201,77,1862,3193,1762,1568,695,201,281729,281928,207,9763,10016,4324,2557,1479,1954,208,9742,10027,4347,2568,1479,1943,234275,234626,773,30403,22508,10663,5037,4568,11700,768,30102,22445,10644,5035,4536,11468,203212,204139,6.77,4.11,-0.4,2025-02-24,I85 Corridor
Carmenica Dr. and Pasubio Terrrace,Cicero,NY,13039,,182.18,43.1813244,-76.1138614,General Commercial,Onondaga,"Apartment Units, Commercial, Mixed Use, Single Family Development",,"Sutton Real Estate Company, LLC",Barton Feinberg,3154241111.0,3154241383.0,,,No,"Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",11/04/2016,100-year and 500-year Floodplain,-4.11,-2.78,-2.73,-2.35,25038,28218,26753,25938,56223,59858,57397,55802,266175,279364,271725,265345,95452,112598,99712,112879,100387,82418,101766,85280,102200,85281,61329,80724,62015,80782,61690,83,4324,2536,765,111,232,643,82,4182,2454,739,107,226,625,185661,185664,128,9554,4697,1267,281,663,1676,125,9254,4558,1231,273,644,1628,178050,178111,464,31544,13056,4216,1099,1786,13384,459,30678,12721,4109,1078,1740,13049,161471,161503,-5.52,-4.24,-2.22,2025-02-24,I85 Corridor
8401 Caughdenoy Rd,Clay,NY,13041-9181,,98.02,43.17827,-76.17128,RA-100,Onondaga,Commercial,,Cushman & Wakefield | Pyramid Brokerage Company,Mark Austin,3154451030.0,3154452074.0,,,No,"Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",11/04/2016,100-year and 500-year Floodplain,-4.21,-2.8,-2.74,-2.37,23817,24985,23405,22633,92074,96008,91964,89386,289803,305854,297477,290415,93209,112457,99255,112795,100251,78320,97917,79451,97994,78585,60623,80230,61311,80208,60947,55,4075,2159,532,84,343,534,54,3933,2079,512,82,332,517,182380,182315,219,15460,6892,1463,326,756,2367,214,14971,6672,1415,316,736,2296,173573,173568,527,34622,13825,4601,1136,1990,14540,520,33653,13452,4482,1108,1939,14157,160887,160911,-6.54,-4.35,-2.31,2025-02-24,I85 Corridor
7294 County Road 132,Ovid,NY,14521-9506,7500000.0,284.0,42.6639881,-76.8671446,Not Zoned,Seneca,"Apartment Units - Condo, Apartment Units - Senior, Hospitality, MultiFamily, Planned Unit Development, Public Park, Single Family Development, Winery/Vineyard",Boy Scouts of America,Moore Corporate Real Estate,Steve Moore,5855464170.0,5855463587.0,,,No,,,,-1.71,-1.21,-2.36,-1.31,2622,2586,2338,2269,4240,4205,4133,4083,19047,19304,18848,18602,60381,71432,58492,69748,58043,60916,68676,56587,66376,55374,59560,72447,58239,72062,57663,2,197,43,17,13,45,222,2,194,42,17,13,45,216,124111,125000,8,377,94,67,51,100,396,8,375,93,68,52,100,393,139920,140400,77,1859,724,443,282,446,1400,77,1824,717,441,284,445,1383,165384,165926,-4.48,2.1,-2.47,2025-02-24,I85 Corridor
County Route 57,Fulton,NY,13069,550000.0,93.0,43.2780833,-76.38087,R-1,Oswego,"Baseball Field, Commercial, Hold for Development",Jeanette Difato,JF Real Estate,Ed Rogers,3154722020.0,3154728774.0,12/30/2014 00:00:00,340000.0,Yes,The base floodplain where base flood elevations are provided. AE Zones are now used on new format FIRMs instead of A1-A30 Zones.,06/18/2013,100-year Floodplain,-2.74,-0.64,-1.96,-1.3,7176,6086,5948,5922,21593,20281,19725,19599,69952,73473,72035,71102,59914,74609,59848,74203,59668,56340,67312,55006,65713,53903,70277,89335,68558,87599,66733,13,775,238,95,1,73,641,13,766,236,94,1,73,639,135742,135509,14,1675,569,184,14,241,2453,14,1657,561,181,13,243,2432,107284,107151,150,7805,4430,1851,435,814,5289,150,7684,4338,1810,423,807,5243,165316,164868,-2.5,-2.99,-2.09,2025-02-24,I85 Corridor
2825 W Entry Rd,Baldwinsville,NY,13027,,100.0,43.1829408,-76.3095165,PUD,Onondaga,Industrial,New York State,Empire State Development,Andrea Burdick,3154259110.0,,09/24/2010 00:00:00,,No,"Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",11/04/2016,100-year and 500-year Floodplain,-2.94,-2.43,-3.11,-2.41,21590,26447,26093,25518,49306,56630,54964,53628,159584,168094,162860,158928,84667,113841,85056,112625,83661,79449,101870,78018,100773,76076,73225,93261,73300,92846,72412,48,2836,2258,1186,384,175,461,48,2765,2201,1154,374,171,450,216696,216651,125,7029,4410,1805,539,416,1812,123,6837,4278,1751,525,410,1764,189002,188927,394,24981,10641,3403,836,1434,6548,389,24292,10330,3313,814,1405,6406,170335,170263,-1.37,-3.1,-3.28,2025-02-24,I85 Corridor
2349 Fenner Rd,Cazenovia,NY,13035-9702,1750000.0,101.79,42.9326283,-75.8356667,Commercial,Madison,"Apartment Units, Apartment Units - Condo, Apartment Units - Dorms, Apartment Units - Senior, Apartment Units - Subsdzd, Single Family Residence",,Canaan Realty,Allen Olmsted,3156824500.0,3156824214.0,,,No,,,,-0.14,-0.92,-2.99,-1.96,5001,5284,5301,5261,8027,8389,8377,8300,39944,42296,41032,40229,76460,115174,89130,118832,92821,79099,118874,91643,122640,95338,83211,121508,94119,123166,95987,51,421,305,331,123,266,46,51,419,302,327,122,266,46,299835,299833,89,706,572,541,231,370,114,89,700,565,534,230,369,113,285926,286194,230,3201,3662,2564,964,1090,1022,228,3135,3575,2515,947,1070,997,258533,258783,0.76,0.18,-2.96,2025-02-24,I85 Corridor
2571 Higby Rd,Frankfort,NY,13340-4566,,82.0,43.0400702,-75.0893531,,Herkimer,"Distribution, Industrial",,JLL,James Panczykowski,2015284400.0,2015284401.0,,,No,,,,-1.48,-1.17,-2.91,-1.86,9523,8916,8589,8430,22562,21042,20731,20488,114002,117057,113646,111535,62611,75165,63026,75645,63157,63106,74647,64685,74865,64659,53792,71528,53326,71736,52954,4,1059,267,94,95,30,1122,4,1036,265,94,94,30,1097,120160,120560,16,1860,789,193,126,140,2721,16,1829,788,192,125,142,2678,110833,111318,188,9815,4116,1345,717,965,9187,185,9633,4066,1324,703,948,8983,140545,140880,-4.13,-1.87,-2.53,2025-02-24,I85 Corridor
1149 Johnson Rd,Cincinnatus,NY,13040-9613,885000.0,102.0,42.463825,-75.9381281,,Cortland,MultiFamily,,Zere Real Estate Services Inc.,Marie Zere,6314674300.0,6314675786.0,,,No,"Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",03/02/2010,100-year and 500-year Floodplain,-2.05,-1.9,-5.64,-2.7,1010,909,918,907,2938,2686,2631,2581,14126,13175,12432,12096,59582,74912,59736,76003,59444,57402,78529,62162,80651,63541,57523,79911,60813,82185,61944,1,103,34,12,4,6,137,1,101,33,12,4,6,135,111165,110891,3,314,114,32,21,23,340,3,308,112,31,21,22,333,126592,126623,11,1489,632,185,85,75,1503,11,1447,615,182,83,74,1459,132706,132930,0.87,-2.28,-5.69,2025-02-24,I85 Corridor
